cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,IPC,CPI
1933159173,3081078202,17776611,9257417,35603726,42922855,1037408,797198,19567160,299325,139303,273090,9289001,4894247,15365658,1.59,0.627429441
2011458293,3076220142,17402178,10508160,35734278,44650621,1226882,1190700,19331727,305583,128645,357719,11680621,3852188,16756218,1.53,0.653873325
2241361643,3144756366,18315840,11066764,34284520,49113371,1252683,1272774,16663440,286574,134876,281595,10498908,4848126,18834858,1.4,0.712729821
2041195700,3309962790,17913187,10778388,37320211,50821654,1252209,1367991,18234236,353172,210628,334509,10385401,4993886,16443811,1.62,0.616682371
1981228204,3336633429,15479884,10023438,34634611,51289314,912272,1287316,14741096,292482,194521,384942,12717434,4114692,17121184,1.68,0.593780601
2122620562,3448633353,15444685,11482407,34950851,58208433,1406715,1681406,17879561,410698,294354,563287,12887662,4990074,18436380,1.62,0.615496153
2240455834,3345297625,17809048,10278134,38736253,54798870,1269830,1265642,18525462,309245,171402,324839,11744203,4812680,20007902,1.49,0.669732886
2243443544,3369468626,18156230,10563508,43361796,38312162,1309609,1043575,18423347,296078,206091,336863,9570304,5173744,14660598,1.5,0.665815235
2239323005,3232656209,19468247,11329320,37346730,34484098,1421154,1062658,18162420,273727,106416,263310,10463909,4023880,14747261,1.44,0.692719194
2135200333,3832262663,16041174,10309155,40852192,44750372,1235969,1324611,18386299,260409,222271,346802,8193706,3689613,12860742,1.79,0.557164401
2254285973,3492778313,18765474,11029870,36059268,62104019,1443084,1505645,19916299,356076,200901,431678,16368431,4347358,19381668,1.55,0.645413413
1933964679,3071205001,18575535,10389468,35866529,50949771,1240788,1197069,19070754,257311,207978,288622,11190106,3442821,20296434,1.59,0.629708755
2039513062,3155201090,16030786,12116146,33743183,53586082,1558119,1415208,16362823,303650,172838,319158,10982981,3705776,17208365,1.55,0.646397172
2202489761,3236010413,17443245,11688888,36198743,59260145,1370966,1434918,16693781,267601,242716,446915,11032975,5107554,17091864,1.47,0.680618873
2080419037,3014288477,17846322,9866796,34414151,48739117,1074180,1307045,18948699,290816,146596,375690,10866756,4355720,17007573,1.45,0.690185778
2273893169,3534715840,23462931,8936578,38098272,57531975,906377,919047,23745112,301200,113102,375856,15599138,3907958,21653722,1.55,0.643302962
2187880116,3315620218,23550471,9173531,36394239,54920977,923152,887698,22675476,263018,140598,410080,14295007,3624428,21659905,1.52,0.659870544
2258109451,3472976790,22777842,9758767,38273836,56467486,982783,1066811,22268168,319476,119126,369259,12631580,5069417,19775215,1.54,0.650194225
2149891741,3372041747,21687270,9012341,39631957,50549038,887500,929943,21497778,322199,152635,395013,13807911,4029438,17678931,1.57,0.637563797
2264549610,4115417754,19374367,8375531,45053918,48925876,1000742,1120251,19314136,280122,163789,400537,10112068,3879651,14347315,1.82,0.55025996
2196573286,3904859766,17734697,9714441,38799714,41023059,1089806,987558,18072972,301153,119509,317284,9819882,4319768,15795874,1.78,0.562522963
2153459622,3734314551,16236679,11645137,42333398,36632383,1164860,1187672,17437280,256059,130511,266885,6830341,4454017,15170795,1.73,0.576667978
2264721515,3862592451,17283815,9252170,41756594,43204221,1210065,1347950,17562283,304171,157051,391117,11384136,4016494,15893057,1.71,0.586321633
2141220617,3117343045,19513557,10243259,33262875,49126338,1175013,966554,19524636,307996,111915,452955,16341603,3304142,20832176,1.46,0.686873593
2165376855,3453134062,17068315,12277788,33181636,47195625,1432677,1291354,18214564,337332,115495,381692,13650469,4300691,19311068,1.59,0.627075815
2245398286,3509883331,20070502,11198425,38257604,56780898,1354105,1404954,17326630,355756,223697,457835,14388695,5237632,23483561,1.56,0.639735876
2142593997,3312889025,19492389,10734094,35306813,45156195,1130720,876179,19021441,295565,106252,332355,11634801,4619767,17714028,1.55,0.646744875
2247890832,3401558190,14797530,12199664,33969774,53117163,1409910,1529515,15035408,303744,225038,366784,9707006,5803637,19594083,1.51,0.660841505
1981796290,3128216049,13314121,14679003,34119304,37160137,1991803,1313397,14398232,301509,155414,217881,6883754,3702713,13738798,1.58,0.633522832
2043817491,3328045564,14092927,11128746,32135645,69142147,1616444,2015949,12429560,291393,254164,367964,9853302,4843234,16788402,1.63,0.614119444
2051794162,3163033728,19479013,10126119,34834848,55955319,1217808,1519905,18767180,308299,277565,387187,12952964,4068351,18720051,1.54,0.648679192
2077294584,3396183902,16462731,11133929,35925226,63075779,1569463,1834873,16429523,343483,218754,472450,13179005,4520425,19315811,1.63,0.611655506
2251391388,3821098602,17436799,11554656,38466132,47688940,1255426,1395167,17574990,292930,202145,376508,11605071,5116806,18528786,1.7,0.589200024
2148025489,3326790644,14032300,10743727,33700829,61019156,1674646,1779500,15595352,341723,207293,472661,11358430,4582513,16540964,1.55,0.645674982
2077577363,3335134191,17033741,10610801,30178567,47420710,1197838,1198346,16515266,295036,240401,371860,15090745,3817587,18447918,1.61,0.622936663
2159085489,2914985151,16560056,12967980,29765645,58549672,1550980,1417635,17362828,385946,175507,409741,14756467,3158331,19175429,1.35,0.740684901
2076696763,3296941659,21170180,10012317,35702886,54327875,1021397,1009805,22562240,278504,103098,395409,15140424,3478947,20550956,1.59,0.629885809
2237562053,3690215488,18953300,10624125,38478691,55418753,1168282,1597667,18672025,282449,220999,418520,11958506,4251427,17756988,1.65,0.606349971
2113030024,3192552174,21191915,10681445,36537881,52891995,1169666,1149005,20511522,294050,172414,432573,15912797,3879057,19752409,1.51,0.661862331
2139320864,3526497593,20436532,9925484,39835696,44444458,1158492,1060750,20343333,305101,148171,384982,11184722,3793539,16688555,1.65,0.606641805
2000925877,3133667552,16131186,9742308,32630754,54283631,1281962,1309077,16491165,274499,221189,346645,10736025,3310072,17022009,1.57,0.638525256
2126005517,3099779214,19515104,10576043,34047913,54279936,1292429,1314501,19255655,314524,166027,513488,16472129,3803278,20608874,1.46,0.685857079
1985562989,2966450309,17848404,10183102,30397989,54106809,1139117,1269705,19200905,339820,116803,402411,17762306,2816905,22875725,1.49,0.66933971
2094303549,3384484215,16453663,11452205,31937607,54262507,1315933,1561183,15649458,245441,165722,373712,12959688,3720233,20264099,1.62,0.618795484
1924265680,3134745735,14555327,10974463,30409472,51017887,1181509,1510085,16014817,273108,175909,475425,15551088,4163755,18348553,1.63,0.613850641
2215873896,3234321486,13848214,11396975,24353020,67001323,1497731,1563961,13895555,286253,328941,493344,12647914,3875134,19388728,1.46,0.685112443
