cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,l2_rqsts.swpf_miss:u,page-faults:u,mem-stores:u,l1d_pend_miss.pending:u,frontend_retired.itlb_miss:u,IPC,CPI
445235186,1546365698,1032768,347339,2208681,1823886,27019,11393,1598002,1513,289,205,39709,71406,193304,453212,23508,29753,453212,54140,7390,53036,207276,0,0,99379165,66542402,796,3.473143513,0.287923605
451955614,1571633993,2544872,129354,2462761,2417349,9024,3053,2638986,2204,546,90,64853,56137,136529,95477,6312,24537,95477,7246,11426,6725,2234076,792,0,102171775,17517100,2893,3.477407835,0.287570526
452958999,1575167966,2044113,146120,2299791,3970149,9207,4768,2180107,1137,641,155,51262,37538,105485,114597,9406,47775,114597,10270,24518,10551,3593920,1105,0,91629047,11539668,1835,3.477506727,0.287562348
449860425,1564403833,1963888,215842,2892115,2628863,18585,4067,1842892,3887,413,917,106766,59921,148953,200909,13495,31343,200909,13026,18080,14452,2687325,1120,0,99220793,20171148,2309,3.477531577,0.287560293
439418250,1528215869,1905417,219425,2546059,2721330,17428,3490,2048195,1232,500,85,64115,50050,129930,309165,23875,92498,309165,19092,16693,21509,2722384,1308,0,95113548,27627925,5926,3.47781611,0.287536767
454248727,1580050940,2199792,117681,2589267,3147967,23494,52116,1615820,2449,1207,180,83498,41880,130674,221838,11792,68176,221838,17526,34405,25668,3137098,1156,0,103500855,10446287,2504,3.478382758,0.287489925
450676292,1568147667,2025987,154034,2666367,2761382,11193,3645,1937975,1743,521,75,56027,37917,91284,119376,4684,51200,119376,8398,18269,9006,2838069,1014,0,97800763,17772748,4117,3.479543288,0.287394039
443823924,1544439520,1671920,408657,3180837,2576123,20668,4017,1810069,3953,641,405,90353,87765,191833,445550,19333,29396,445550,16514,15130,13245,2448783,1014,0,88353405,43845610,5270,3.479847382,0.287368925
443974854,1545759554,1926596,420759,3241105,3044809,30141,46692,1721011,1553,340,170,129537,82208,222002,142492,23118,40117,142492,11881,16692,12740,3267114,1923,0,89850676,15734143,4136,3.48163762,0.287221161
455092235,1585577683,2237343,107292,2390687,2813530,7318,3245,2208203,1442,521,100,36550,23060,63544,132918,8580,43946,132918,7446,13852,8323,2892345,1092,0,101319732,11682315,2817,3.484079844,0.287019829
