cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,IPC,CPI
452505607,781729610,3712424,983570,1296031,898027,284394,1137,3919831,147011,65,1197,23401,321841,367306,16201576,103045,10326,16201576,237116,1064,232476,876143,1.727557842,0.578851819
452456821,782270272,4106051,937615,1508881,895687,266092,440,4342418,169657,148,2232,42193,357808,410882,18519595,50981,17312,18519595,280941,1558,311366,700052,1.728939063,0.578389384
455515421,788679295,4259178,966651,1435085,1219511,259634,948,4533002,151450,320,2650,24847,335968,371418,20650979,59895,6211,20650979,271247,5460,306695,1179607,1.73139977,0.577567363
455227310,788284596,4281403,848062,1551476,1751346,250906,483,4433098,168250,210,1452,21469,390283,406222,12516804,52678,13480,12516804,228490,851,248772,1222648,1.731628526,0.577491064
452003626,783124989,4027881,957651,1309055,915617,279638,1452,4276717,137246,129,2314,47684,356564,433256,21282173,101226,7332,21282173,234606,557,235439,673786,1.73256351,0.577179419
455967984,790820984,4600968,866587,1461427,792484,259801,472,4674423,150288,75,1562,24747,322343,356794,12056178,177540,8259,12056178,233215,313,230651,748091,1.734378315,0.576575474
453048686,788228932,4306885,960824,1550482,862747,283696,444,4509167,173283,135,1056,23439,349450,381239,14587773,42799,11509,14587773,250875,1659,246741,1024555,1.73983273,0.574767898
457335596,796628900,4974151,972114,1533514,769416,255838,275,4781307,151549,55,1863,25685,345788,398958,18446539,57916,6111,18446539,270001,1134,251754,784271,1.741891309,0.574088633
457334005,797900920,4903544,1023895,1640537,587308,277873,84,4865717,194007,90,2424,30798,422260,449215,15119686,79756,2604,15119686,282058,739,284696,610032,1.74467875,0.573171422
450912596,786941770,3562816,1050485,1440751,830489,323706,760,3893386,189795,285,1763,30058,417101,444939,12486330,136407,5892,12486330,219739,1728,272296,1028697,1.745220198,0.572993598
418859740,731201075,3625874,408034,1132658,807307,195455,178,4257649,149409,50,1232,23658,355435,373002,8867530,150367,5811,8867530,163599,43,166539,741801,1.745694334,0.572837971
451514215,788400653,4012178,1012161,1383172,1199995,316053,1559,3933699,161499,165,1011,19758,355194,379393,16160046,36846,5040,16160046,238708,789,224916,1172996,1.746125873,0.572696399
457265108,798722545,4970625,981409,1543805,661425,261221,165,5014711,173495,185,1923,27362,347788,390619,17579109,82779,11602,17579109,273784,968,274408,645725,1.746738448,0.572495557
451333534,790132143,3989103,1001087,1359058,931996,311533,1155,4150414,155103,130,1302,20935,351476,378505,13178853,148311,6263,13178853,220049,1509,261581,1538145,1.750661281,0.571212724
